judge,pre_question,pre_rhetorical_question,pre_gif,pre_thoughts,pre_assess,pre_doubt,pre_negation,pre_pauses,pre_causation,pre_falsity,pre_conflict,aft_question,aft_rhetorical_question,aft_gif,aft_thoughts,aft_assess,aft_doubt,aft_negation,aft_pauses,aft_causation,aft_falsity,aft_conflict,class
Exist,Why,Null,Null,Null,Exist,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,p
Exist,What,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Null,Null,Exist,Null,Null,Exist,Null,Exist,p
Exist,Null,Null,Exist,Exist,Null,Null,Null,Null,Exist,Null,Null,which,Null,Exist,Exist,Null,Exist,Exist,Null,Null,Exist,Null,p
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,More,Null,Exist,Exist,Null,More,Exist,Null,Null,Exist,Null,p
Exist,which,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,why,Null,Exist,Null,Exist,Exist,Null,Null,Null,Exist,Null,p
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,when,Null,Exist,Null,Null,Null,More,Null,Null,Exist,Null,p
Exist,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Exist,Null,More,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,p
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,p
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,e
Null,Why,Null,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,where,Null,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Who,Null,Null,Null,Null,Null,More,Exist,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,More,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,Why,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,e
Null,what,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,More,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,e
Exist,What,Null,Null,Null,Null,Null,Exist,Exist,Null,Exist,Null,what,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,e
Exist,Why,Null,Null,Null,Null,Null,Exist,Exist,Exist,Null,Null,why,Null,Null,Exist,Null,Exist,Exist,Null,Exist,Null,Null,e
Null,what,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,what,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Exist,Exist,Null,Null,Null,Null,Exist,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,What,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,What,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,More,Null,Null,Null,Null,Exist,Null,Null,Exist,Exist,Null,when,Null,Exist,Exist,Null,More,Null,Null,Exist,Exist,Null,e
Null,What,Null,Null,Exist,Null,Null,Null,Null,Exist,Exist,Null,what,Exist,Null,Exist,Null,Null,Exist,Null,Null,Exist,Null,e
Exist,More,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,More,Null,Null,Exist,Null,Null,Exist,Null,Exist,Null,Null,e
Null,Null,Null,Null,Null,Exist,Null,Exist,Null,Null,Null,Null,More,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,e
Null,why,Null,Null,Exist,Null,Exist,Exist,Null,Exist,Null,Null,Null,Exist,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,e
Null,What,Null,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,who,Null,Null,Null,Null,Null,Exist,Null,Exist,Null,Null,e
Exist,More,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,More,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,More,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,e
Null,what,Null,Null,Exist,Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,e
Exist,Null,Null,Null,Exist,Null,Null,Exist,Null,Exist,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Exist,Exist,Null,Exist,Null,Null,Null,Null,e
Null,what,Exist,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,More,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,e
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Exist,Null,Null,Null,Null,e
Null,Why,Null,Null,Null,More,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Exist,Null,Null,e
Null,More,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,More,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,e
Exist,More,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Exist,More,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Exist,Null,Null,Exist,Exist,Null,Null,Null,e
